1 0 7   39.55 19.3497 75.03 176.40
4 0 0   40.2 21.3278 19.239 133.34
4 1 -3  41.9775 20.86 -6.321 153.3
4 1 -5  44.2808 21.9902 -19.2743 150.63
5  1  6  70.6622  35.1616 40.0178 159.43
5 1 -6  54 27.1916 -17.7624 146.40
2 1 -11  57.3637 28.6574 -65.59 148.8
-1 1 11  57.5785 28.6103 59.3267 -112.61
5  1 -11 68.2131 34.1469 -38.8323 140.98
4  1  8  69.3981 34.5985 48.6553 167.16
3  1 -11 59.0296 29.6 -55.9212 144.71
6 1 -7 64.7628 32.484  -16.84 143.63
-4 -1 3 42.6179  20.8801 7.28 -26.7
4 -1 -3 43.2892 21.6015 2.094 107.49

4 -1 -5 44.32  22.704 -10.9844   105.54
-4 1 5  44.31 22.653 11.7038 -74.46

