1 1 0 24.67 12.77 30 17.36
-1 0 2 41.58 21.30 6 133.89
1 0 1 24.60 12.50 74.5 88.62
1 0 0 18.89 10.10 55.28 -25.58
0 1 1 24.01 10.87 15.42 87.76
1 1 0 24.64 11.87 30.42 17.86
1 1 -1 30.71 14.47 5.02 -10.18
