1 1 0    24.70    11.82    30.5  17.82
1 1 -1   30.71    14.41    6.0   -10.22
1 1 1    30.74    14.58    45.9  60.06
1 2 0    37.12    17.63    14.3  29.89
1 0 -2   41.48    19.59    -5.2  -44.4
1 0 2    41.53    19.20    58.4  116.57
1 2 -1   41.56    19.71    -0.8  8.17
1 2 1    41.59    19.87    27.1  54.4
1 1 -2   44.6     21.09    -9.2  -23.59
2 1 1    45.75    22.67    56.7  34.1
0 2 2    49.15    23.34    15.4  87.8
